name,line
anonymous,tbf if low sodium is that flavorful, then idt I want to taste full sodium
anonymous,my mom only buys spam low sodium
anonymous,:(
anonymous,bro im gonna cry
anonymous,LMFAO
anonymous,weary
anonymous,low sodium potato chips
anonymous,yessirrrr
anonymous,basically potato chips r very good when u crave salt
anonymous,bro i just like my lays 
anonymous,????
anonymous,i dont do this so i cant give an opinion
anonymous,but sun chips r better overall tee bee ache
anonymous,BRO SO TRUE
anonymous,for me
anonymous,idk spent time outside
anonymous,potato chips are surprisingly good when ur hungry or like
anonymous,wtf
anonymous,SHE DESERVES IT
anonymous,UR SO INVALID DIANA LIN
anonymous,SOUR CREAM AND ONION IS LEGIT THE BEST CHIP FALVOR
anonymous,nah y'all are invalid
'\u1cbc\u1cbc',ILL MURDER U
anonymous,GTFO
anonymous,YOU'RE ACTUALLY DONE
'\u1cbc\u1cbc',SKLDHGLSDHLGSHLDG
'\u1cbc\u1cbc',SOUR CREAM AND ONNION IS SOOO GOOOD
anonymous,like I'll eat em but
anonymous,DOANA YOU'RE DONE
'\u1cbc\u1cbc',HAT?????
'\u1cbc\u1cbc',LSDHGLSDHGLHSDKHGLSDHLG
anonymous,but worse than original
anonymous,GET OUT
anonymous,not as bad as sour cream and onion
'\u1cbc\u1cbc',WTF
anonymous,ok bbq lays are kinda bad
'\u1cbc\u1cbc',bbq lays >>>>>
anonymous,wtf they acc taste better imho
'\u1cbc\u1cbc',but u mighta swell go all in
anonymous,as a once in a while snack it's usually fine
'\u1cbc\u1cbc',ur speading false info
anonymous,that's not too bad
anonymous,i akso like the taste of sun chips better tho
anonymous,nvm!
anonymous,nah idt sun chips are unhealthy
'\u1cbc\u1cbc',if ur gonna eat smth unhealathy u might as well go all out
anonymous,this is true
'\u1cbc\u1cbc',:Yaw:
anonymous,im j a weirdo no cap ive never had soda b4 lmfao
anonymous,ok nvm
'\u1cbc\u1cbc',only if i get to send ur hot face
anonymous,just for me pls
'\u1cbc\u1cbc',tee be aich no
anonymous,couldnt see well
anonymous,o i c
'\u1cbc\u1cbc',send pic tbh
anonymous,i had cierra's glasses on
anonymous,not as oily and salty
anonymous,or at least they make me feel healthier
'\u1cbc\u1cbc',ur eyesight is alr bad enugh
anonymous,! plus theyre healthier
'\u1cbc\u1cbc',goood
'\u1cbc\u1cbc',that is false news
anonymous,today
anonymous,hm ig i never had sun chips alone lmfao
anonymous,sun chips are better tee bee aych
anonymous,potato chips make me feel greasy afterwards
'\u1cbc\u1cbc',me!
'\u1cbc\u1cbc',who eats potato chips?
anonymous,w8 nvm i cant say that anymore u shaved 
anonymous,u can step on me any day daddy
'\u1cbc\u1cbc',:(
anonymous,if ur eating it w smth else then original tho
'\u1cbc\u1cbc',ill fight both u an d eian
anonymous,ok like the originals hit rlly well but the garden salsa is better as a standalone
anonymous,:(
'\u1cbc\u1cbc',ltiearlly u
'\u1cbc\u1cbc',why dont u just be a nomral person and eat potatoe chips
anonymous,original >>>>
anonymous,idt ive ever had those
anonymous,I am disagreeing with you on principle
anonymous,garden salsa sun chips are objectively the best sun chips, even surpassing classic, and i will fight anyone who challenges me on this
anonymous,LMFAO
anonymous,THATS WHY I CLICKED ON IT
anonymous,LMFAO
anonymous,ok I'm sure the video itself is good but that title is so fucking funny
anonymous,https://youtu.be/XxXHgGZzojU this is actually p interesting
anonymous,Ooh tyyyy
anonymous,i think costco has the small portable one on sale sometimes and it's def cheaper than elsewhere
anonymous,i was going to say my dad is obsessed with his theragun
anonymous,Preferably smallish and wireless
anonymous,I can't be spending hundreds on a theragun smh
anonymous,Anyone know any good massage guns
anonymous,Bro the movie was so good
anonymous,YESHH
anonymous,very vibes
anonymous,havent heard it in a while
anonymous,YOOO I LIEKD THIS SONG
anonymous,If u get the chance, u should def watch the movie
anonymous,LMFAO
anonymous,breh u got me obsessed w this song now
'\u1cbc\u1cbc',this is such a wweird emoji
anonymous,lemonthinking
'\u1cbc\u1cbc',how r u?
anonymous,Insert deep sigh here
anonymous,Ngl azealia banks has some nice music
'\u1cbc\u1cbc',rly relatawble quesiton that i wish i had an answer for
anonymous,Like in general
anonymous,Do i actually want to date anyone?
anonymous,Sure it's only for like a split second BUT STILL
anonymous,AND I LIKE RARELY FEEL TRULY HAPPY
anonymous,I FEEL GAY *AND* HAPPY
anonymous,EVERY TIME I HEAR THE OPENING
anonymous,IKR
anonymous,THIS IS GOOD!
anonymous,The vibes
